id,category en,name mr,name en,category_mr,,,,,,,,,,,,,,,,,,,,,,,
62,Papad,????????  ???? ,Sago Papad,????,,,,,,,,,,,,,,,,,,,,,,,
63,Papad,?????????   ???? , Potato Papad,????,,,,,,,,,,,,,,,,,,,,,,,
64,Papad,???????? ????,Rice Papad,????,,,,,,,,,,,,,,,,,,,,,,,
65,Daily Products,???????? ????,Bath Soap,???????? ??????? ??????????????? ?????,,,,,,,,,,,,,,,,,,,,,,,
66,Daily Products,???????? ????,Cloth Soap,???????? ??????? ??????????????? ?????,,,,,,,,,,,,,,,,,,,,,,,
67,Daily Products,????????? ????,Utensils soap,???????? ??????? ??????????????? ?????,,,,,,,,,,,,,,,,,,,,,,,
68,Daily Products,???????? ????,Nirma Powder,???????? ??????? ??????????????? ?????,,,,,,,,,,,,,,,,,,,,,,,
69,Daily Products,???,Nil,???????? ??????? ??????????????? ?????,,,,,,,,,,,,,,,,,,,,,,,
70,Daily Products,?????? ?????,Bleaching Powder,???????? ??????? ??????????????? ?????,,,,,,,,,,,,,,,,,,,,,,,
71,Daily Products,??? ???,Rin Soap,???????? ??????? ??????????????? ?????,,,,,,,,,,,,,,,,,,,,,,,
72,Daily Products,???? ???,Baby Soap,???????? ??????? ??????????????? ?????,,,,,,,,,,,,,,,,,,,,,,,
73,Daily Products,???? ?????,Baby Paste,???????? ??????? ??????????????? ?????,,,,,,,,,,,,,,,,,,,,,,,
74,Daily Products,????????,Toothpaste,???????? ??????? ??????????????? ?????,,,,,,,,,,,,,,,,,,,,,,,
75,Daily Products,?????????,Baby Shampoo,???????? ??????? ??????????????? ?????,,,,,,,,,,,,,,,,,,,,,,,
76,Daily Products,???????? ?????,Shampoo,???????? ??????? ??????????????? ?????,,,,,,,,,,,,,,,,,,,,,,,
77,Daily Products,???? ???,Baby Oil,???????? ??????? ??????????????? ?????,,,,,,,,,,,,,,,,,,,,,,,
78,Daily Products,???????,Tooth Brush,???????? ??????? ??????????????? ?????,,,,,,,,,,,,,,,,,,,,,,,
79,Daily Products,???? ???,Body Wash,???????? ??????? ??????????????? ?????,,,,,,,,,,,,,,,,,,,,,,,
80,Daily Products,??? ???,Face Wash,???????? ??????? ??????????????? ?????,,,,,,,,,,,,,,,,,,,,,,,
81,Daily Products,??? ?????,Face Cream,???????? ??????? ??????????????? ?????,,,,,,,,,,,,,,,,,,,,,,,
82,Daily Products,???? ????,Body Lotion,???????? ??????? ??????????????? ?????,,,,,,,,,,,,,,,,,,,,,,,
83,Daily Products,??? ?????,Powder,???????? ??????? ??????????????? ?????,,,,,,,,,,,,,,,,,,,,,,,
84,Daily Products,?????,Perfume,???????? ??????? ??????????????? ?????,,,,,,,,,,,,,,,,,,,,,,,
85,Daily Products,???? ???,Hair Oil,???????? ??????? ??????????????? ?????,,,,,,,,,,,,,,,,,,,,,,,
86,Daily Products,???,Gel,???????? ??????? ??????????????? ?????,,,,,,,,,,,,,,,,,,,,,,,
87,Plastic Products,????,Bucket,????????? ????????,,,,,,,,,,,,,,,,,,,,,,,
88,Plastic Products,???,Mat,????????? ????????,,,,,,,,,,,,,,,,,,,,,,,
89,Plastic Products,?????,Scoop,????????? ????????,,,,,,,,,,,,,,,,,,,,,,,
90,Plastic Products,??,Mug,????????? ????????,,,,,,,,,,,,,,,,,,,,,,,
91,Plastic Products,???????,Dustbin,????????? ????????,,,,,,,,,,,,,,,,,,,,,,,
92,Plastic Products,????,Broom,????????? ????????,,,,,,,,,,,,,,,,,,,,,,,
93,Plastic Products,???,Mop,????????? ????????,,,,,,,,,,,,,,,,,,,,,,,
94,Plastic Products,?????? ????,Toilet Brush,????????? ????????,,,,,,,,,,,,,,,,,,,,,,,
95,Plastic Products,???????? ????,Clothes Brush,????????? ????????,,,,,,,,,,,,,,,,,,,,,,,
96,Plastic Products,?????? ?????,Steel Rub,????????? ????????,,,,,,,,,,,,,,,,,,,,,,,
97,Plastic Products,?????? ?????,Nylon Rub,????????? ????????,,,,,,,,,,,,,,,,,,,,,,,
98,Plastic Products,??????  ?????,Scrubber,????????? ????????,,,,,,,,,,,,,,,,,,,,,,,
99,Plastic Products,???????,Bag,????????? ????????,,,,,,,,,,,,,,,,,,,,,,,
100,Instant Mix,?????,Dhokla,???????? ?????,,,,,,,,,,,,,,,,,,,,,,,
101,Instant Mix,??????????,Gulabjamun,???????? ?????,,,,,,,,,,,,,,,,,,,,,,,
102,Instant Mix,????,Idli,???????? ?????,,,,,,,,,,,,,,,,,,,,,,,
103,Instant Mix,????,Dosa,???????? ?????,,,,,,,,,,,,,,,,,,,,,,,
104,Material Of Worship,???,Turmeric,?????? ????,,,,,,,,,,,,,,,,,,,,,,,
105,Material Of Worship,?????,Vermilion ,?????? ????,,,,,,,,,,,,,,,,,,,,,,,
106,Material Of Worship,?????,Gulal,?????? ????,,,,,,,,,,,,,,,,,,,,,,,
107,Material Of Worship,????,Ashtigandh,?????? ????,,,,,,,,,,,,,,,,,,,,,,,
108,Material Of Worship,??????,Incense Stick,?????? ????,,,,,,,,,,,,,,,,,,,,,,,
109,Material Of Worship,??,Dhoop,?????? ????,,,,,,,,,,,,,,,,,,,,,,,
110,Material Of Worship,????,Wick,?????? ????,,,,,,,,,,,,,,,,,,,,,,,
111,Material Of Worship,?????,Champhor,?????? ????,,,,,,,,,,,,,,,,,,,,,,,
112,Pulses,????? ???,Yellow Gram,???????,,,,,,,,,,,,,,,,,,,,,,,
113,Pulses,????? ???,Gren Gram,???????,,,,,,,,,,,,,,,,,,,,,,,
114,Pulses,????,Black Eyed Peas,???????,,,,,,,,,,,,,,,,,,,,,,,
115,Pulses,???? ?????,Kala Ghevda,???????,,,,,,,,,,,,,,,,,,,,,,,
116,Pulses,?????,Kidney Beans,???????,,,,,,,,,,,,,,,,,,,,,,,
117,Pulses,???? ?????,Vagha Ghevda,???????,,,,,,,,,,,,,,,,,,,,,,,
118,Pulses,?????,Halaga,???????,,,,,,,,,,,,,,,,,,,,,,,
119,Pulses,????? ????,Masoor,???????,,,,,,,,,,,,,,,,,,,,,,,
120,Pulses,??????,Peas,???????,,,,,,,,,,,,,,,,,,,,,,,
121,Pulses,????,chickpeas,???????,,,,,,,,,,,,,,,,,,,,,,,
122,Pulses,???????,Soyabean,???????,,,,,,,,,,,,,,,,,,,,,,,
123,Pulses,?????,Halge,???????,,,,,,,,,,,,,,,,,,,,,,,
124,Pulses,???,Linseed,???????,,,,,,,,,,,,,,,,,,,,,,,
125,Pulses,???? ?????,Green Chickpea,???????,,,,,,,,,,,,,,,,,,,,,,,
126,Grain,???,Wheat,?????,,,,,,,,,,,,,,,,,,,,,,,
127,Grain,??????,Jowar,?????,,,,,,,,,,,,,,,,,,,,,,,
128,Grain,?????,Bajara,?????,,,,,,,,,,,,,,,,,,,,,,,
129,Grain,???? ???,Khapli Wheat,?????,,,,,,,,,,,,,,,,,,,,,,,
130,Chutney,???????? ????,Groundnut Chutney,??????,,,,,,,,,,,,,,,,,,,,,,,
131,Chutney,?????? ????,Seasame Chutney,??????,,,,,,,,,,,,,,,,,,,,,,,
132,Chutney,??????????,Flax Seed Chuteny,??????,,,,,,,,,,,,,,,,,,,,,,,
133,Chutney,??????? ????,Niger Seed Chutney,??????,,,,,,,,,,,,,,,,,,,,,,,
134,Chutney,?????? ?????????? ????,Dri Coconut Chutney,??????,,,,,,,,,,,,,,,,,,,,,,,
135,Chutney,?????? ????,Mint Chutney,??????,,,,,,,,,,,,,,,,,,,,,,,
136,Chutney,???????? ????,Kadipatta Chatney,??????,,,,,,,,,,,,,,,,,,,,,,,
137,Chutney,????,Thecha,??????,,,,,,,,,,,,,,,,,,,,,,,
138,Supari,????? ??????  ,Chikni Supari,??????,,,,,,,,,,,,,,,,,,,,,,,
139,Supari,?????  ??????  ,Kacchi Supari,??????,,,,,,,,,,,,,,,,,,,,,,,
140,Supari,???????   ??????  ,Baked Supari,??????,,,,,,,,,,,,,,,,,,,,,,,
141,Biscuits,????? ???????,Namkin Biscuit,???????,,,,,,,,,,,,,,,,,,,,,,,
142,Biscuits,?????  ???????,Cream Biscuit,???????,,,,,,,,,,,,,,,,,,,,,,,
143,Biscuits,??? ???????,Sweet Biscuit,???????,,,,,,,,,,,,,,,,,,,,,,,
144,Pickle,?????? ?????,Mango pickle,?????,,,,,,,,,,,,,,,,,,,,,,,
145,Pickle,??????? ?????,Lemon Pickle,?????,,,,,,,,,,,,,,,,,,,,,,,
146,Pickle,????? ?????,Mix Pickle,?????,,,,,,,,,,,,,,,,,,,,,,,
147,Pickle,??????? ?????,Chilli pickle,?????,,,,,,,,,,,,,,,,,,,,,,,
148,Bakery Products,????,Khari,????? ??????????,,,,,,,,,,,,,,,,,,,,,,,
149,Bakery Products,?????,Toast,????? ??????????,,,,,,,,,,,,,,,,,,,,,,,
150,Bakery Products,???,Butter,????? ??????????,,,,,,,,,,,,,,,,,,,,,,,
151,Bakery Products,?????,Bread,????? ??????????,,,,,,,,,,,,,,,,,,,,,,,
152,Bakery Products,???,Pav,????? ??????????,,,,,,,,,,,,,,,,,,,,,,,
153,Oil,???????? ??? ,Groundnut,???,,,,,,,,,,,,,,,,,,,,,,,
154,Oil,???? ???,Safflower,???,,,,,,,,,,,,,,,,,,,,,,,
155,Oil,??????? ???,Soyabean,???,,,,,,,,,,,,,,,,,,,,,,,
156,Oil,???????? ???,Sunflower,???,,,,,,,,,,,,,,,,,,,,,,,
157,Oil,??? ???,Palm,???,,,,,,,,,,,,,,,,,,,,,,,
158,Oil,????? ???,Mustard,???,,,,,,,,,,,,,,,,,,,,,,,
159,Oil,?????? ???,Sesame ,???,,,,,,,,,,,,,,,,,,,,,,,
160,Oil,????,Dalda,???,,,,,,,,,,,,,,,,,,,,,,,
161,Oil,???????? ???,Wooden churned ,???,,,,,,,,,,,,,,,,,,,,,,,
162,Spices,??? ????? ?????,Red Chilli Powder,?????,,,,,,,,,,,,,,,,,,,,,,,
163,Spices,?????? ??? ?????,Special Garam Masala,?????,,,,,,,,,,,,,,,,,,,,,,,
164,Spices,????? ???? ?????,Onion Garlic Masala,?????,,,,,,,,,,,,,,,,,,,,,,,
165,Spices,????? ?????,Vegetable Masala,?????,,,,,,,,,,,,,,,,,,,,,,,
166,Spices,??? ?????,Garam Masala,?????,,,,,,,,,,,,,,,,,,,,,,,
167,Spices,????? ?????,Pickle Masala,?????,,,,,,,,,,,,,,,,,,,,,,,
168,Spices,???? ?????,Turmeric Powder,?????,,,,,,,,,,,,,,,,,,,,,,,
169,Spices,???? ???? ?????,Kitchen King Masala,?????,,,,,,,,,,,,,,,,,,,,,,,
170,Spices,???? ?????,Chicken Masala,?????,,,,,,,,,,,,,,,,,,,,,,,
171,Spices,??? ?????,Mutton Masala,?????,,,,,,,,,,,,,,,,,,,,,,,
172,Spices,??????? ?????,Pav Bhaji Masala,?????,,,,,,,,,,,,,,,,,,,,,,,
173,Spices,?????? ????? ?????,Chivda Masala,?????,,,,,,,,,,,,,,,,,,,,,,,
174,Spices,???? ?????,Chole Masala,?????,,,,,,,,,,,,,,,,,,,,,,,
175,Spices,???????? ?????,Biriyani Masala,?????,,,,,,,,,,,,,,,,,,,,,,,
176,Spices,??? ?????,Chaat Masala,?????,,,,,,,,,,,,,,,,,,,,,,,
177,Spices,??? ?????,Coriander Powder,?????,,,,,,,,,,,,,,,,,,,,,,,
178,Spices,?????? ?????,Fish Curry Masala,?????,,,,,,,,,,,,,,,,,,,,,,,
179,Spices,????65 ?????,Chicken 65 Masala,?????,,,,,,,,,,,,,,,,,,,,,,,
180,Spices,???????,Cinammon,?????,,,,,,,,,,,,,,,,,,,,,,,
181,Spices,????,Cloves,?????,,,,,,,,,,,,,,,,,,,,,,,
182,Spices,???,Coriander,?????,,,,,,,,,,,,,,,,,,,,,,,
183,Spices,????,Cumin,?????,,,,,,,,,,,,,,,,,,,,,,,
184,Spices,??? ?????,Red Chilly,?????,,,,,,,,,,,,,,,,,,,,,,,
185,Spices,???? ????,Black Pepper,?????,,,,,,,,,,,,,,,,,,,,,,,
186,Spices,????? ?????,Green Cardemom,?????,,,,,,,,,,,,,,,,,,,,,,,
187,Spices,????? ?????,Masala Cardemom,?????,,,,,,,,,,,,,,,,,,,,,,,
188,Spices,????????,Star  Anise,?????,,,,,,,,,,,,,,,,,,,,,,,
189,Spices,???????,Royal Cumin,?????,,,,,,,,,,,,,,,,,,,,,,,
190,Spices,?????,Nutmeg,?????,,,,,,,,,,,,,,,,,,,,,,,
191,Spices,????????,Maize,?????,,,,,,,,,,,,,,,,,,,,,,,
192,Spices,???????,Triphala,?????,,,,,,,,,,,,,,,,,,,,,,,
193,Spices,????????,Rampatri,?????,,,,,,,,,,,,,,,,,,,,,,,
194,Spices,????,Asofoetida,?????,,,,,,,,,,,,,,,,,,,,,,,
195,Spices,????????,Bayleaf,?????,,,,,,,,,,,,,,,,,,,,,,,
196,Spices,????,Poppy Seeds,?????,,,,,,,,,,,,,,,,,,,,,,,
197,Spices,????????,Cubeb,?????,,,,,,,,,,,,,,,,,,,,,,,
198,Spices,??????,Nakeshkar,?????,,,,,,,,,,,,,,,,,,,,,,,
199,Spices,??????,black stone,?????,,,,,,,,,,,,,,,,,,,,,,,
200,Spices,??????,Fennel Seeds,?????,,,,,,,,,,,,,,,,,,,,,,,
201,Spices,????,Saffron,?????,,,,,,,,,,,,,,,,,,,,,,,
202,Spices,???,Sesame Seeds,?????,,,,,,,,,,,,,,,,,,,,,,,
203,Spices,????,Fenugreek,?????,,,,,,,,,,,,,,,,,,,,,,,
204,Spices,?????????,Fenugreek Leaf,?????,,,,,,,,,,,,,,,,,,,,,,,
205,Spices,??,Honey,?????,,,,,,,,,,,,,,,,,,,,,,,
206,Spices,???,Ajwain,?????,,,,,,,,,,,,,,,,,,,,,,,
207,Milk and Milk Products,???,Milk,?????? ??????,,,,,,,,,,,,,,,,,,,,,,,
