"id";"category en";"name mr";"name en";"category_mr";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Daily Food Products";"हळीव";"Haliv";"घरातीलदैनंदिन वापरतील वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Daily Food Products";"राळे";"Rale";"घरातीलदैनंदिन वापरतील वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Daily Food Products";"चुरमुरे";"Gum";"घरातीलदैनंदिन वापरतील वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Daily Food Products";"साबुदाणा";"Sago";"घरातीलदैनंदिन वापरतील वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Daily Food Products";"खोबराकीस";"Coconut khis";"घरातीलदैनंदिन वापरतील वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Daily Food Products";"पोहे";"Poha(flatened rice)";"घरातीलदैनंदिन वापरतील वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Daily Food Products";"दगडीपोहे";"Stony Poha";"घरातीलदैनंदिन वापरतील वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Daily Food Products";"साधेपोहे";"Baked Poha";"घरातीलदैनंदिन वापरतील वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Daily Food Products";"भाजके पोहे";"Bhajake Pohe";"घरातीलदैनंदिन वापरतील वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Daily Food Products";"मकापोहे";"Maized Poha";"घरातीलदैनंदिन वापरतील वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Daily Food Products";"म्यागी";"Maggie";"घरातीलदैनंदिन वापरतील वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Daily Food Products";"नूडल्स";"Noodles";"घरातीलदैनंदिन वापरतील वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Daily Food Products";"बारीक मीठ";"Stony Salt,Fine Salt";"घरातीलदैनंदिन वापरतील वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Daily Food Products";"शेवया";"Vermicelli(Shevya)";"घरातीलदैनंदिन वापरतील वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Daily Food Products";"फूड कलर";"Edible colour";"घरातीलदैनंदिन वापरतील वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Daily Food Products";"पापड खार";"Papad khar";"घरातीलदैनंदिन वापरतील वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"51";"Dry Fruits";"काजू";"Cashew";"ड्रायफृट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"52";"Dry Fruits";"बदाम";"Almond ";"ड्रायफृट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"53";"Dry Fruits";"पिस्ता";"Pistachois";"ड्रायफृट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"54";"Dry Fruits";"अक्रोड";"Walnuts";"ड्रायफृट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"55";"Dry Fruits";"मनुके";"Brown Raisin";"ड्रायफृट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"56";"Dry Fruits";"खजूर";"Dates";"ड्रायफृट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"57";"Dry Fruits";"खारीक";"Dry Dates";"ड्रायफृट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"58";"Dry Fruits";"काळे मनुके";"Black Raisin";"ड्रायफृट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"59";"Dry Fruits";"चारोळे";"Chironji";"ड्रायफृट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"60";"Papad";"उडदाचे पापड";"Black Gram Papad";"पापड";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"61";"Papad";"रागी पापड";"Ragi Paapad";"पापड";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"62";"Papad";"साबुदाणा  पापड ";"Sago Papad";"पापड";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"63";"Papad";"बटाट्याचे   पापड ";" Potato Papad";"पापड";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"64";"Papad";"तांदळाचे पापड";"Rice Papad";"पापड";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"65";"Daily Products";"अंघोळीचा साबण";"Bath Soap";"वैयक्तिक वापरतील दैनंदिनगरजेच्या वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"66";"Daily Products";"कपड्याचा साबण";"Cloth Soap";"वैयक्तिक वापरतील दैनंदिनगरजेच्या वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"67";"Daily Products";"भांड्याचा साबण";"Utensils soap";"वैयक्तिक वापरतील दैनंदिनगरजेच्या वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"68";"Daily Products";"धुण्याचा सोडा";"Nirma Powder";"वैयक्तिक वापरतील दैनंदिनगरजेच्या वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"69";"Daily Products";"नीळ";"Nil";"वैयक्तिक वापरतील दैनंदिनगरजेच्या वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"70";"Daily Products";"बिचिंग पाउडर";"Bleaching Powder";"वैयक्तिक वापरतील दैनंदिनगरजेच्या वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"71";"Daily Products";"रिन आला";"Rin Soap";"वैयक्तिक वापरतील दैनंदिनगरजेच्या वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"72";"Daily Products";"बेबी सोप";"Baby Soap";"वैयक्तिक वापरतील दैनंदिनगरजेच्या वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
