"Pulses";"Moth bean";"";"";""
"Pulses";"Chana Dal";"";"";""
"Ladoo";"Groundnut ladoo";"";"";""
"Ladoo";"Seame Ladoo";"";"";""
"Ladoo";"Amaranth Ladoo";"";"";""
"Ladoo";"Gum Lood";"";"";""
"Legumes";"Green lentil";"";"";""
"Legumes";"yellow lentil";"";"";""
"Legumes";"Cowpea";"";"";""
"Legumes";"Black French";"";"";""
"Legumes";"Bean";"";"";""
"Legumes";"Horse Gram";"";"";""
"Legumes";"Chhole";"";"";""
"Legumes";"Whole lentil";"";"";""
"Legumes";"Soyabean";"";"";""
"Legumes";"Pea";"";"";""
"Grain";"Wheat";"";"";""
"Grain";"Jowar";"";"";""
"Grain";"Bajara";"";"";""
"Grain";"Ragi";"";"";""
"Grain";"Khapli Wheat";"";"";""
"Grain";"Green Gram";"";"";""
"Grain";"White Gram";"";"";""
"Chutney";"Groundnut Chutney";"";"";""
"Chutney";"Seasame Chutney";"";"";""
"Chutney";"Flax Seed Chuteny";"";"";""
"Chutney";"Niger Seed Chutney";"";"";""
"Chutney";"Dri Coconut Chutney";"";"";""
"Chutney";"Mint Chutney";"";"";""
"Chutney";"Kadipatta Chatney";"";"";""
"Chutney";"Thecha";"";"";""
"Supari";"Chikni Supari";"";"";""
"Supari";"Kacchi Supari";"";"";""
"Supari";"Baked Supari";"";"";""
"Supari";"Whole Supari";"";"";""
"Wafers";"Banana Wafers";"";"";""
"Wafers";"Potato Wafers";"";"";""
"Wafers";"Tomato Wafers";"";"";""
"Wafers";"Kurkure";"";"";""
"Biscuits";"Namkin Biscuit";"";"";""
"Biscuits";"Cream Biscuit";"";"";""
"Biscuits";"Sweet Biscuit";"";"";""
"Pickle";"Mango pickle";"";"";""
"Pickle";"Lemon Pickle";"";"";""
"Pickle";"Mix Pickle";"";"";""
"Pickle";"Chilli pickle";"";"";""
"Bakery Products";"Khari";"";"";""
"Bakery Products";"Tost";"";"";""
"Bakery Products";"Butter";"";"";""
"Bakery Products";"Bread";"";"";""
"Bakery Products";"Pav";"";"";""
"Bakery Products";"Cream Roll";"";"";""
"Bakery Products";"Nanket";"";"";""
"Bakery Products";"Cake";"";"";""
"Bakery Products";"Donut";"";"";""
"Bakery Products";"Cup cake";"";"";""
"Bakery Products";"Small puri for Pani pury";"";"";""
"Bakery Products";"Chavanprash";"";"";""
"Bakery Products";"Mix jam";"";"";""
"Bakery Products";"Sauce";"";"";""
"Bakery Products";"Bhakar wadi";"";"";""
"Bakery Products";"Chakli";"";"";""
"Flour";"Wheat flour";"";"";""
"Flour";"Rice Flour";"";"";""
"Flour";"Besan Flour";"";"";""
"Flour";"Maida(white flour)";"";"";""
"Flour";"Anarsa flour";"";"";""
"Flour";"Rava";"";"";""
"Flour";"Chakli flour";"";"";""
"Flour";"Bajari  flour";"";"";""
"Flour";"Flour for fast";"";"";""
"Flour";"Satha flour";"";"";""
"Flour";"Black gram flour";"";"";""
"Oil";"Groundnut";"";"";""
"Oil";"Safflower";"";"";""
"Oil";"Soyabean";"";"";""
