"Category (MR) ";"Name (MR)";"Category (EN)";"Name (EN)"
"दुधाचे पदार्थ";"दूध";"Milk and Milk products";"Milk"
"दुधाचे पदार्थ";"दही";"Milk and Milk products";"Curd"
