"लाल मिरची";"खोबरे";"";"नीळ";"खारीक";"घमेला";"अगरबती";"खजूर";"आंबटचूका";"भेंडी";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"काळे मिरे";"पिठी साखर";"";"बिचिंग पाउडर";"अक्रोड";"डस्टबिन";"कापुर";"अंजीर";"कडीपत्ता";"वांगी";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"हिरवी वेलची";"खडीसाखर";"";"रिन आला";"पिस्ता";"झाडू";"ऊद";"द्राक्ष";"कोथिंबीर";"लिंबू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"मसाला वेलची";"सेंद्रिय गूळ";"";"बेबी सोप";"चारोळे";"मौफ";"वाती";"पेरु";"कांद्याचीपात";"मशरूम";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"स्टारफूल";"गूळपाउडर";"";"बेबी पेस्ट";"केसर";"टोयलेट ब्रश";"आष्टीगंध";"खरबूज";"राजगीरा";"बटाटा";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"शहाजिरे";"चहापाउडर";"";"टुथपेस्ट";"";"कपड्याचा ब्रश";"";"टरबूज";"करडई";"भोपळा";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"जायफळ";"कॉफी";"";"बेबीशांपू";"";"तारेची घासणी";"";"कलिंगड";"तांदुळजा";"मुळा";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"जयवंत्री";"नारळ";"";"रेग्युलर शांपू";"";"नायलोण घासणी";"";"आंबा";"देमसे";"कच्ची केळी";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"त्रिफळा";"चिंच, ";"";"बेबी ऑइल";"";"स्क्रब  घासणी";"";"डाळिंब";"";"घेवडा";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"रामपत्री";"कोकम";"";"टुथब्रश";"";"पिशव्या";"";"पपई";"";"दोडका";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"हिंग";"खायचा सोडा";"";"बॉडी वॉश";"";"कंगवा";"";"पेरु";"";"टोमॅटो";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
